title;provider;url;description;hours
Corso HACCP per alimentaristi;Regione/Ente accreditato;;Igiene e sicurezza alimentare, conservazione delle materie prime alimentari, rispetto delle norme igienico-sanitarie in cucina;8
Corso di cucina professionale;Scuola di cucina;;Tecniche di cucina, preparazione di piatti, pianificare i menu, gestione della linea di cucina;120
Corso di pasticceria di base;Scuola di cucina;;Preparare prodotti di pasticceria, impasti, lievitati, dolci da forno e decorazione;80
Corso di panificazione e pizzeria;Scuola di cucina;;Preparare pane e pizza, gestione del forno a legna, impasti e lievitazione;60
Corso nutrizione e diete;Ente di formazione;;Composizione delle diete, principi di nutrizione, menu per esigenze alimentari specifiche;40
Corso base di Python;Piattaforma online;;Programmazione in Python, scrivere codice, sviluppo di script e automazione;60
Corso SQL e basi di dati;Piattaforma online;;Linguaggio SQL, interrogare basi di dati relazionali, progettazione di database;40
Corso analisi dati ed Excel avanzato;Piattaforma online;;Analisi quantitativa dei dati, fogli di calcolo, tabelle pivot, creare rappresentazioni visive di dati e report;40
Corso di data science e machine learning;Piattaforma online;;Costruire modelli predittivi, statistica, machine learning, analisi di dati con Python;120
Corso di sviluppo web;Piattaforma online;;Sviluppo di applicazioni web, HTML, CSS, JavaScript, utilizzo di framework moderni;100
Corso cloud computing e DevOps;Piattaforma online;;Amministrazione di servizi cloud, container, automazione del rilascio software;80
Corso di cybersecurity di base;Piattaforma online;;Sicurezza informatica, protezione delle reti, gestione delle vulnerabilità e dei dati personali;60
Corso assistenza e supporto IT;Ente di formazione;;Assistenza informatica, installazione e manutenzione di hardware e software, supporto agli utenti;60
Corso contabilità generale;Ente di formazione;;Contabilità, registrazioni contabili, bilancio, fatturazione e adempimenti fiscali;80
Corso paghe e contributi;Ente di formazione;;Amministrazione del personale, elaborazione buste paga, contratti di lavoro;60
Corso inglese commerciale;Scuola di lingue;;Lingua inglese per il lavoro, comunicazione scritta e orale con clienti e fornitori;60
Corso comunicazione efficace e lavoro in team;Ente di formazione;;Comunicazione interpersonale, lavorare in squadra, gestione dei conflitti, ascolto attivo;24
Corso digital marketing e social media;Piattaforma online;;Marketing digitale, gestione dei social media, campagne pubblicitarie online, SEO e contenuti;60
Corso tecniche di vendita;Ente di formazione;;Tecniche di vendita, negoziazione, gestione del cliente e fidelizzazione;32
Corso customer service;Ente di formazione;;Assistenza clienti, gestione dei reclami, comunicazione telefonica e via email;24
Corso sicurezza sul lavoro (formazione generale e specifica);Ente accreditato;;Sicurezza e salute sul luogo di lavoro, prevenzione dei rischi, dispositivi di protezione individuale;16
Corso primo soccorso;Ente accreditato;;Primo soccorso aziendale, gestione delle emergenze sanitarie, rianimazione cardiopolmonare;12
Corso antincendio;Ente accreditato;;Prevenzione incendi, gestione delle emergenze, uso degli estintori;8
Patentino carrello elevatore (muletto);Ente accreditato;;Conduzione del carrello elevatore, movimentazione merci in magazzino, sicurezza nella logistica;12
Corso gestione magazzino e logistica;Ente di formazione;;Gestione delle scorte, inventario, ricevimento merci, preparazione spedizioni, software gestionali di magazzino;40
Corso di saldatura;Ente di formazione;;Tecniche di saldatura a elettrodo, MIG/MAG e TIG, lettura del disegno tecnico, lavorazione dei metalli;80
Corso operatore macchine CNC;Ente di formazione;;Programmazione e conduzione di macchine utensili a controllo numerico, lavorazioni meccaniche di precisione;80
Corso lettura disegno tecnico;Ente di formazione;;Lettura e interpretazione del disegno tecnico e meccanico, quote, tolleranze e simbologia;24
Corso impianti elettrici civili;Ente di formazione;;Installazione e manutenzione di impianti elettrici, quadri elettrici, normativa CEI;80
Corso impianti idraulici e termoidraulici;Ente di formazione;;Installazione e manutenzione di impianti idraulici, sanitari e di riscaldamento;80
Corso operatore socio sanitario (OSS);Regione/Ente accreditato;;Assistenza alla persona, igiene e mobilizzazione del paziente, supporto alle attività sanitarie;1000
Corso assistenza anziani e badanti;Ente di formazione;;Cura e assistenza domiciliare di persone anziane, igiene personale, preparazione pasti, somministrazione farmaci;64
Corso CQC trasporto merci e persone;Autoscuola;;Qualificazione del conducente professionale, guida sicura di veicoli pesanti, normativa sui tempi di guida;140
Corso barman e caffetteria;Scuola di formazione;;Preparazione di caffè e cappuccini, cocktail, servizio al banco e gestione del bar;40
Corso sala e servizio ristorante;Scuola di formazione;;Servizio in sala, accoglienza del cliente, presa delle comande, servizio di vini e bevande;40
Corso estetista di base;Scuola professionale;;Trattamenti estetici, cura della pelle, manicure e pedicure, igiene e sicurezza in cabina;300
Corso acconciatore;Scuola professionale;;Taglio e piega dei capelli, colorazione, trattamenti tricologici, gestione del salone;300
Corso giardinaggio e manutenzione del verde;Ente di formazione;;Potatura, cura delle piante, manutenzione di parchi e giardini, uso di attrezzature per il verde;60
Corso di fotografia e fotoritocco;Piattaforma online;;Tecniche fotografiche, composizione, elaborazione digitale delle immagini;40
Corso project management;Ente di formazione;;Gestione di progetti, pianificazione delle attività, gestione del budget e del team di progetto;60
Corso amministrazione e segreteria;Ente di formazione;;Attività di segreteria, gestione documentale, archiviazione, comunicazioni aziendali, pacchetto Office;60
Corso mediazione e gestione dei conflitti;Ente di formazione;;Tecniche di mediazione, negoziazione e risoluzione dei conflitti nei gruppi di lavoro;24
