category_id,job_category,posting_count,needs_review,confidence,c1_current,c2,c3,c4,c5,pick,correct_uri,notes
23,Recruiter,894,True,561,croupier,cassiere/cassiera,responsabile del bilancio,armaiolo/armaiola,sminatore/sminatrice,,http://data.europa.eu/esco/occupation/a6e8a6bf-9209-4d19-a131-a8b6431e0f75,
26,Addetto/a alle Pulizie,749,True,679,funzionario addetto alle politiche pubbliche/funzionaria addetta alle politiche pubbliche,operatore di forni per il trattamento termico/operatrice di forni per il trattamento termico,funzionario addetto alle politiche sociali/funzionaria addetta alle politiche sociali,addetto alle attrazioni/addetta alle attrazioni,funzionario addetto alle politiche sanitarie/funzionaria addetta alle politiche sanitarie,,http://data.europa.eu/esco/occupation/303a1e34-cb16-4054-b323-81e5eec17397,addetto alle pulizie negli stabili (corretto)
34,Pubblicità/Marketing/PR,655,True,658,assistente pubblicitario/assistente pubblicitaria,responsabile della pubblicità,responsabile dell’acquisto di spazi pubblicitari,addetto alle affissioni pubblicitarie/addetta alle affissioni pubblicitarie,consulente pubblicitario/consulente pubblicitaria,5,,
39,Risorse Umane/HR,620,True,655,gestore di ristorante,dirigente delle risorse umane,responsabile delle risorse umane,assistente alle risorse umane,correttore di bozze/correttrice di bozze,3,,
46,Alberghi/Ristoranti/Bar,510,True,615,monaco/suora,ausiliario sanitario portantino/ausiliaria sanitaria portantina,addetto alle attrazioni/addetta alle attrazioni,orafo/orafa,argentiere/argentiera,,http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae ,
56,Innovation Specialist,453,True,679,responsabile dello sviluppo del prodotto,responsabile della ricerca nel campo delle TIC,ingegnere dell’innovazione/ingegnera dell'innovazione,specialista in business development,responsabile dell’innovazione,5,,
61,HR Business Partner,425,True,592,responsabile del commercio online,analista business dei sistemi TIC,dirigente delle risorse umane,business coach,analista middle office,3,,
64,Consulente SAP,418,True,629,consulente fallimentare,consulente informatico,tecnico riparatore di hardware,consulente forestale,consulente attuariale,2,,
70,Maître,396,True,694,formatore/formatrice,saggiatore/saggiatrice,maltatore/maltatrice,stimatore/stimatrice,capotrivellatore,,http://data.europa.eu/esco/occupation/53ed8787-3423-4843-8c63-7be1877d29e2 ,
78,Logistica/Imballaggio E Magazzinaggio,350,True,691,magazziniere/magazziniera,operatore di magazzino/operatrice di magazzino,addetto alla logistica/addetta alla logistica,responsabile della produzione di imballaggi,operaio addetto all’imballaggio manuale/operaia addetta all’imballaggio manuale,1,,
